"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"60";"5933_4_U";"b";"d";"16.05.2019";"12.06.2019";27;"no";449,1;108,14;385,07;92,58;15,56;14,39;481;16,66;71,78;17,26;55;15,9333333333333;865,1666667;8,265277778
"61";"5938_2_A";"b";"c";"14.05.2019";"13.06.2019";30;"yes";450,5;108,48;222,07;59,98;48,5;44,71;517;14,55;77,63;16,34;39;15,8333333333333;721,1666667;7,749722222
"62";"5938_2_A";"b";"c";"14.05.2019";"13.06.2019";30;"no";449,7;108,29;309,78;75,12;33,17;30,63;517;14,55;77,63;16,34;39;15,8333333333333;721,1666667;7,749722222
"63";"5938_2_F";"b";"a";"14.05.2019";"13.06.2019";30;"yes";449,9;108,34;158,22;82,53;25,81;23,82;590;13,99;76,58;15,44;44,3333333333333;15,5666666666667;777,2666667;7,523888889
"64";"5938_2_F";"b";"a";"14.05.2019";"13.06.2019";30;"no";450,6;108,5;194,99;78,43;30,07;27,72;590;13,99;76,58;15,44;44,3333333333333;15,5666666666667;777,2666667;7,523888889
"65";"5938_2_G";"b";"b";"14.05.2019";"13.06.2019";30;"yes";450,3;108,43;210,26;62,32;46,11;42,53;580;14,8;76,27;16,15;45,3333333333333;15,5333333333333;780,9666667;7,445555556
"66";"5938_2_G";"b";"b";"14.05.2019";"13.06.2019";30;"no";450;108,36;296,33;70,46;37,9;34,98;580;14,8;76,27;16,15;45,3333333333333;15,5333333333333;780,9666667;7,445555556
"67";"5938_3_A";"c";"c";"14.05.2019";"13.06.2019";30;"yes";449,6;108,26;212,45;79,27;28,99;26,78;538;13,84;78,56;14,46;47,3333333333333;15,9666666666667;787,5333333;7,803055556
"68";"5938_3_A";"c";"c";"14.05.2019";"13.06.2019";30;"no";449,8;108,31;279,91;77,01;31,3;28,9;538;13,84;78,56;14,46;47,3333333333333;15,9666666666667;787,5333333;7,803055556
"69";"5938_3_F";"c";"a";"14.05.2019";"13.06.2019";30;"yes";449,8;108,31;156,37;84,39;23,92;22,09;625;14,33;76,04;14,97;52,3333333333333;15,4;873,4333333;7,302777778
"70";"5938_3_F";"c";"a";"14.05.2019";"13.06.2019";30;"no";449,6;108,26;145,13;79,8;28,46;26,29;625;14,33;76,04;14,97;52,3333333333333;15,4;873,4333333;7,302777778
"71";"5938_3_U";"c";"d";"14.05.2019";"13.06.2019";30;"yes";449,8;108,31;313,66;76,79;31,52;29,1;581;14,76;74,75;15,12;51;15,6333333333333;852,7;7,478055556
"72";"5938_3_U";"c";"d";"14.05.2019";"13.06.2019";30;"no";449,9;108,34;355,11;76,94;31,4;28,98;581;14,76;74,75;15,12;51;15,6333333333333;852,7;7,478055556
"73";"6022_1_F";"a";"a";"15.05.2019";"13.06.2019";29;"yes";450,1;108,38;161,37;39,92;68,46;63,17;445;14,01;80,83;15,24;70,6666666666667;15,3333333333333;1048,2;8,364722222
"74";"6022_1_F";"a";"a";"15.05.2019";"13.06.2019";29;"no";449,6;108,26;139,47;37,78;70,48;65,1;445;14,01;80,83;15,24;70,6666666666667;15,3333333333333;1048,2;8,364722222
"75";"6022_1_G";"a";"b";"15.05.2019";"13.06.2019";29;"yes";449,6;108,26;273,46;73,43;34,83;32,17;401;14,11;79,41;15,38;63,3333333333333;15,8333333333333;988,3666667;8,816388889
"76";"6022_1_G";"a";"b";"15.05.2019";"13.06.2019";29;"no";450;108,36;326,07;79,37;28,99;26,75;401;14,11;79,41;15,38;63,3333333333333;15,8333333333333;988,3666667;8,816388889
"77";"6022_1_U";"a";"d";"15.05.2019";"13.06.2019";29;"yes";450,2;108,41;303,01;71,22;37,19;34,3;346;15,25;77,14;16;62;16,0333333333333;969,5;8,958888889
"78";"6022_1_U";"a";"d";"15.05.2019";"13.06.2019";29;"no";450,3;108,43;275,49;61,22;47,21;43,54;346;15,25;77,14;16;62;16,0333333333333;969,5;8,958888889
"79";"6026_3_A";"b";"c";"16.05.2019";"16.06.2019";31;"yes";450,3;108,43;224,27;57,75;50,68;46,74;272;17,01;77,01;17,78;64;16,8;629,1;9,499722222
"80";"6026_3_A";"b";"c";"16.05.2019";"16.06.2019";31;"no";450;108,36;89,93;48,12;60,24;55,59;272;17,01;77,01;17,78;64;16,8;629,1;9,499722222
"81";"6026_3_G";"b";"b";"16.05.2019";"16.06.2019";31;"yes";449,8;108,31;184,2;81,45;26,86;24,8;283;16,87;75,49;17,29;65,6666666666667;16,4;675,4666667;9,240555556
"82";"6026_3_G";"b";"b";"16.05.2019";"16.06.2019";31;"no";450,5;108,48;362,44;84,7;23,78;21,92;283;16,87;75,49;17,29;65,6666666666667;16,4;675,4666667;9,240555556
"83";"6026_3_U";"b";"d";"16.05.2019";"16.06.2019";31;"yes";450,1;108,38;314,63;61,29;47,09;43,45;260;17,01;78,3;17,52;60,6666666666667;16,8666666666667;627,7;9,546666667
"84";"6026_3_U";"b";"d";"16.05.2019";"16.06.2019";31;"no";450,1;108,38;309,52;70,18;38,2;35,25;260;17,01;78,3;17,52;60,6666666666667;16,8666666666667;627,7;9,546666667
"85";"6027_3_A";"b";"c";"16.05.2019";"16.06.2019";31;"yes";450,2;108,41;308,49;91,07;17,34;15,99;215;17,51;75,9;18,36;57,3333333333333;17,3333333333333;576,6333333;9,861111111
"86";"6027_3_A";"b";"c";"16.05.2019";"16.06.2019";31;"no";450,3;108,43;333,7;83,48;24,95;23,01;215;17,51;75,9;18,36;57,3333333333333;17,3333333333333;576,6333333;9,861111111
"87";"6027_3_F";"b";"a";"16.05.2019";"16.06.2019";31;"yes";450,5;108,48;237,81;94,76;13,72;12,65;261;17,11;74,02;17,93;58,3333333333333;17,2666666666667;599,7666667;9,739166667
"88";"6027_3_F";"b";"a";"16.05.2019";"16.06.2019";31;"no";449,6;108,26;278,7;83,17;25,09;23,18;261;17,11;74,02;17,93;58,3333333333333;17,2666666666667;599,7666667;9,739166667
"89";"6027_3_U";"b";"d";"16.05.2019";"16.06.2019";31;"yes";450;108,36;182,89;94,5;13,86;12,79;229;17,39;74,96;18,08;55;17,3666666666667;549,8333333;9,818888889
"90";"6027_3_U";"b";"d";"16.05.2019";"16.06.2019";31;"no";450,1;108,38;225,16;82,51;25,87;23,87;229;17,39;74,96;18,08;55;17,3666666666667;549,8333333;9,818888889
"91";"6029_3_A";"a";"c";"15.05.2019";"13.06.2019";29;"yes";450,3;108,43;104,76;70,41;38,02;35,07;368;15,98;78,19;17,37;64,3333333333333;16,1333333333333;771,4333333;8,720277778
